wavelength;absorbance
190;0,5657
191;0,51734
192;0,48304
193;0,45628
194;0,44092
195;0,42956
196;0,42262
197;0,4193
198;0,41899
199;0,41891
200;0,42438
201;0,42965
202;0,43536
203;0,44131
204;0,44685
205;0,45195
206;0,4556
207;0,45763
208;0,45769
209;0,45453
210;0,44798
211;0,43813
212;0,42466
213;0,40832
214;0,38908
215;0,36716
216;0,34261
217;0,31601
218;0,28895
219;0,26179
220;0,23701
221;0,21451
222;0,19493
223;0,1787
224;0,16505
225;0,15422
226;0,14549
227;0,13833
228;0,13277
229;0,12853
230;0,12518
231;0,12222
232;0,12048
233;0,11861
234;0,11768
235;0,11737
236;0,11756
237;0,11849
238;0,12008
239;0,12237
240;0,125
241;0,12858
242;0,13272
243;0,13733
244;0,1422
245;0,14748
246;0,15294
247;0,15826
248;0,16335
249;0,16776
250;0,17102
251;0,17378
252;0,17508
253;0,17513
254;0,17359
255;0,17104
256;0,16728
257;0,16298
258;0,15805
259;0,15281
260;0,14745
261;0,14256
262;0,1376
263;0,13314
264;0,12889
265;0,12519
266;0,12175
267;0,11857
268;0,11575
269;0,11341
270;0,11125
271;0,11007
272;0,10839
273;0,1073
274;0,10649
275;0,10586
276;0,10545
277;0,1056
278;0,10583
279;0,10641
280;0,10747
281;0,10927
282;0,11097
283;0,11306
284;0,11594
285;0,1185
286;0,1219
287;0,12579
288;0,12998
289;0,13438
290;0,13934
291;0,14483
292;0,15078
293;0,15655
294;0,16315
295;0,17027
296;0,17708
297;0,18387
298;0,19062
299;0,19763
300;0,20353
301;0,20941
302;0,21477
303;0,21907
304;0,22276
305;0,22563
306;0,22643
307;0,22593
308;0,22319
309;0,21886
310;0,21097
311;0,20217
312;0,19169
313;0,17981
314;0,16803
315;0,15648
316;0,14519
317;0,13522
318;0,12627
319;0,1167
320;0,10938
321;0,10249
322;0,094272
323;0,088798
324;0,084219
325;0,079137
326;0,075392
327;0,073089
328;0,070822
329;0,069803
330;0,068962
331;0,067106
332;0,066431
