wavelength;absorbance
190;0,5249
191;0,52006
192;0,52014
193;0,52241
194;0,52817
195;0,53753
196;0,54998
197;0,5652
198;0,58396
199;0,60455
200;0,62555
201;0,64781
202;0,66925
203;0,69079
204;0,70941
205;0,72515
206;0,73831
207;0,7463
208;0,74823
209;0,74336
210;0,73077
211;0,71106
212;0,68395
213;0,65023
214;0,60982
215;0,5639
216;0,51233
217;0,45901
218;0,40525
219;0,35537
220;0,31035
221;0,27113
222;0,2383
223;0,21147
224;0,19005
225;0,17284
226;0,15969
227;0,14947
228;0,14201
229;0,13631
230;0,13239
231;0,12924
232;0,12764
233;0,12769
234;0,12877
235;0,13172
236;0,13642
237;0,14241
238;0,1503
239;0,15954
240;0,16997
241;0,18167
242;0,19456
243;0,20749
244;0,22062
245;0,23298
246;0,24432
247;0,2531
248;0,25933
249;0,26191
250;0,26107
251;0,25639
252;0,24839
253;0,2378
254;0,22523
255;0,21272
256;0,19967
257;0,18747
258;0,17626
259;0,16652
260;0,15715
261;0,14919
262;0,14216
263;0,13604
264;0,13066
265;0,12562
266;0,12196
267;0,11856
268;0,11597
269;0,11366
270;0,11185
271;0,11055
272;0,11009
273;0,10966
274;0,10997
275;0,11102
276;0,11301
277;0,11553
278;0,11894
279;0,12327
280;0,12804
281;0,13393
282;0,14007
283;0,14656
284;0,15389
285;0,1621
286;0,17052
287;0,17955
288;0,18964
289;0,20061
290;0,21199
291;0,22393
292;0,23671
293;0,2495
294;0,26244
295;0,27543
296;0,28777
297;0,29942
298;0,30993
299;0,31935
300;0,32651
301;0,33245
302;0,3362
303;0,33726
304;0,33552
305;0,33089
306;0,3229
307;0,3119
308;0,29757
309;0,28107
310;0,26193
311;0,24149
312;0,22115
313;0,20123
314;0,18169
315;0,16431
316;0,14764
317;0,13256
318;0,11954
319;0,10722
320;0,095644
321;0,085866
322;0,077496
323;0,069418
324;0,063786
325;0,058471
326;0,054285
327;0,05136
328;0,048823
329;0,0465
330;0,04421
331;0,042346
332;0,039623
333;0,036593
334;0,033609
335;0,0302
336;0,027129
337;0,024646
338;0,021618
339;0,01958
340;0,017728
341;0,01638
342;0,015709
343;0,015185
344;0,015446
345;0,015958
346;0,016301
347;0,01681
348;0,017859
349;0,019228
350;0,019971
351;0,020852
352;0,020987
353;0,022154
354;0,022277
355;0,02224
356;0,02195
357;0,021274
358;0,020797
359;0,020057
360;0,019535
361;0,018542
362;0,017699
363;0,017549
364;0,017158
365;0,016687
366;0,016659
367;0,016865
368;0,01693
369;0,016873
370;0,016559
371;0,016675
372;0,01651
373;0,016335
374;0,015711
375;0,015138
376;0,01396
377;0,012938
378;0,011737
379;0,010157
380;0,008724
381;0,007218
382;0,005869
383;0,00467
384;0,003543
385;0,002159
386;0,001628
387;0,000387
388;0,000168
389;-0,0002
390;-0,00106
391;-0,00074
392;-0,00098
393;-0,00107
394;-0,00107
395;-0,00122
396;-0,00132
397;-0,00115
398;-0,00107
399;-0,00124
400;-0,00087
401;-0,00084
