wavelength;absorbance
190;0,2842
191;0,28577
192;0,2914
193;0,29109
194;0,29865
195;0,30075
196;0,30377
197;0,31389
198;0,32055
199;0,33416
200;0,34019
201;0,34454
202;0,34724
203;0,34668
204;0,34537
205;0,34212
206;0,3382
207;0,33373
208;0,32703
209;0,3201
210;0,31165
211;0,30259
212;0,29297
213;0,28347
214;0,27514
215;0,26799
216;0,26246
217;0,25933
218;0,25787
219;0,25794
220;0,26024
221;0,26393
222;0,26969
223;0,276
224;0,28401
225;0,29247
226;0,30176
227;0,31154
228;0,32177
229;0,33235
230;0,34318
231;0,35415
232;0,36556
233;0,37684
234;0,38777
235;0,39893
236;0,41
237;0,42121
238;0,43213
239;0,443
240;0,45462
241;0,46639
242;0,478
243;0,49009
244;0,5031
245;0,51881
246;0,53188
247;0,54756
248;0,56325
249;0,57621
250;0,58775
251;0,59714
252;0,60192
253;0,60108
254;0,59618
255;0,58491
256;0,56784
257;0,55169
258;0,53011
259;0,51102
260;0,48468
261;0,46755
262;0,45049
263;0,42949
264;0,41528
265;0,40533
266;0,39082
267;0,37634
268;0,37034
269;0,36354
270;0,35554
271;0,34454
272;0,34291
273;0,33781
274;0,34257
275;0,33883
276;0,33409
277;0,33997
278;0,33628
279;0,34223
280;0,35705
281;0,3634
282;0,37185
283;0,39653
284;0,41199
285;0,42919
286;0,4427
287;0,46488
288;0,47935
289;0,48954
290;0,49685
291;0,49873
292;0,49621
293;0,48917
294;0,48325
295;0,4776
296;0,46957
297;0,46022
298;0,45368
299;0,44663
300;0,43711
301;0,4285
302;0,41864
303;0,4101
304;0,40169
305;0,39264
306;0,38449
307;0,37755
308;0,37028
309;0,36322
310;0,35424
311;0,34368
312;0,33134
313;0,31595
314;0,29933
315;0,28061
316;0,26222
317;0,24348
318;0,22615
319;0,20983
320;0,19447
321;0,18038
322;0,16871
323;0,15795
324;0,14834
325;0,1402
326;0,13285
327;0,12677
328;0,12072
329;0,11687
330;0,11256
331;0,1087
332;0,10644
333;0,10346
334;0,10049
335;0,098821
336;0,096563
337;0,093855
338;0,092083
339;0,089926
340;0,087983
341;0,086703
342;0,085083
343;0,084319
344;0,082597
345;0,08135
346;0,080313
347;0,079227
348;0,077399
349;0,076442
350;0,075104
351;0,074613
352;0,073216
353;0,07196
354;0,071511
355;0,070686
356;0,069666
357;0,068541
358;0,067715
359;0,066924
360;0,065953
361;0,065318
362;0,065079
363;0,064276
364;0,063431
365;0,062781
366;0,061672
367;0,060716
368;0,060402
369;0,059178
370;0,058014
371;0,057445
372;0,056821
373;0,055603
374;0,054696
375;0,053856
376;0,052375
377;0,051509
378;0,050729
379;0,049803
380;0,04886
381;0,047914
382;0,047263
383;0,046869
384;0,046468
385;0,046281
386;0,045482
387;0,045848
388;0,046627
389;0,046269
390;0,046725
391;0,047832
392;0,047737
393;0,048435
394;0,049779
395;0,049893
396;0,05087
397;0,052485
398;0,052876
399;0,054333
400;0,056204
401;0,056827
402;0,058475
403;0,060289
404;0,061412
405;0,063442
406;0,065595
407;0,066778
408;0,068836
409;0,071265
410;0,073067
411;0,075751
412;0,078236
413;0,080651
414;0,083106
415;0,086016
416;0,088562
417;0,091485
418;0,094133
419;0,096982
420;0,099784
421;0,10281
422;0,10581
423;0,10914
424;0,11257
425;0,11582
426;0,1195
427;0,12306
428;0,12641
429;0,13018
430;0,13372
431;0,13766
432;0,14143
433;0,14567
434;0,14972
435;0,15371
436;0,15806
437;0,16206
438;0,16621
439;0,17021
440;0,17438
441;0,17849
442;0,18255
443;0,18677
444;0,19111
445;0,19509
446;0,19902
447;0,2033
448;0,20714
449;0,21142
450;0,21535
451;0,21945
452;0,22362
453;0,22763
454;0,23167
455;0,23562
456;0,23961
457;0,24322
458;0,2468
459;0,25029
460;0,25379
461;0,25715
462;0,26024
463;0,26319
464;0,266
465;0,26904
466;0,27135
467;0,27402
468;0,27644
469;0,27852
470;0,28041
471;0,28214
472;0,2836
473;0,28498
474;0,2864
475;0,28726
476;0,28798
477;0,28907
478;0,28941
479;0,28999
480;0,29041
481;0,29062
482;0,29068
483;0,29073
484;0,29075
485;0,29068
486;0,29089
487;0,29048
488;0,29056
489;0,29065
490;0,29071
491;0,29066
492;0,29082
493;0,291
494;0,29099
495;0,29156
496;0,29189
497;0,29252
498;0,29302
499;0,29348
500;0,29439
501;0,29533
502;0,29634
503;0,29748
504;0,29884
505;0,30034
506;0,30228
507;0,30427
508;0,3065
509;0,30892
510;0,31133
511;0,31435
512;0,31738
513;0,32088
514;0,32465
515;0,32841
516;0,33269
517;0,33719
518;0,34212
519;0,34756
520;0,35318
521;0,359
522;0,36513
523;0,37144
524;0,37811
525;0,3845
526;0,39139
527;0,39825
528;0,40537
529;0,41238
530;0,41932
531;0,4264
532;0,43354
533;0,44038
534;0,44706
535;0,45366
536;0,46039
537;0,46693
538;0,47344
539;0,47955
540;0,48571
541;0,49154
542;0,49736
543;0,50319
544;0,50876
545;0,51444
546;0,5203
547;0,52596
548;0,53159
549;0,53772
550;0,54372
551;0,54986
552;0,55638
553;0,56319
554;0,57003
555;0,57713
556;0,58445
557;0,59174
558;0,59952
559;0,60737
560;0,61513
561;0,62309
562;0,6313
563;0,63932
564;0,6475
565;0,65563
566;0,66351
567;0,67103
568;0,67873
569;0,68545
570;0,69237
571;0,69898
572;0,70481
573;0,7103
574;0,71517
575;0,71921
576;0,72308
577;0,72613
578;0,72838
579;0,73034
580;0,73191
581;0,73251
582;0,73277
583;0,73268
584;0,73201
585;0,73078
586;0,7296
587;0,72788
588;0,72627
589;0,7243
590;0,72247
591;0,72036
592;0,71846
593;0,71649
594;0,71467
595;0,71287
596;0,71154
597;0,71025
598;0,70905
599;0,70841
600;0,70769
601;0,70744
602;0,7071
603;0,70732
604;0,70736
605;0,70765
606;0,70792
607;0,70823
608;0,70835
609;0,70829
610;0,70804
611;0,70782
612;0,70723
613;0,70609
614;0,70451
615;0,70222
616;0,69935
617;0,696
618;0,69166
619;0,68634
620;0,68054
621;0,67377
622;0,66582
623;0,65725
624;0,64735
625;0,6366
626;0,62489
627;0,61267
628;0,59934
629;0,58533
630;0,5703
631;0,55495
632;0,53884
633;0,52211
634;0,50504
635;0,48762
636;0,46998
637;0,45185
638;0,43394
639;0,41606
640;0,39801
641;0,38022
642;0,36266
643;0,34557
644;0,32846
645;0,31183
646;0,29533
647;0,27943
648;0,26398
649;0,24934
650;0,23505
651;0,22168
652;0,20854
653;0,19634
654;0,18462
655;0,17343
656;0,16274
657;0,15279
658;0,14312
659;0,1341
660;0,1255
661;0,11752
662;0,10998
663;0,10283
664;0,0961
665;0,089828
666;0,084099
667;0,078648
668;0,073586
669;0,068977
670;0,064843
671;0,060654
672;0,057079
673;0,053779
674;0,050686
675;0,047994
676;0,04538
677;0,043086
678;0,040986
679;0,03904
680;0,037404
681;0,035918
682;0,034528
683;0,033196
684;0,031982
685;0,030976
686;0,030033
687;0,02915
688;0,028395
689;0,027684
690;0,027214
691;0,026867
692;0,026302
693;0,026103
694;0,025607
695;0,025234
696;0,025043
697;0,024755
698;0,024387
699;0,024321
700;0,024251
