wavelength;absorbance
190;0,51359
191;0,52044
192;0,53111
193;0,55378
194;0,57217
195;0,59987
196;0,62855
197;0,67176
198;0,72446
199;0,81273
200;0,9502
201;1,114
202;1,2271
203;1,2571
204;1,2216
205;1,1746
206;1,1278
207;1,0867
208;1,0532
209;1,0236
210;0,99815
211;0,97795
212;0,95964
213;0,94439
214;0,93215
215;0,92392
216;0,91609
217;0,90628
218;0,89128
219;0,87585
220;0,85876
221;0,83948
222;0,81522
223;0,78685
224;0,75462
225;0,7209
226;0,68696
227;0,65432
228;0,62495
229;0,59779
230;0,57419
231;0,553
232;0,53412
233;0,51657
234;0,50001
235;0,48385
236;0,46781
237;0,45139
238;0,43515
239;0,42007
240;0,40492
241;0,39054
242;0,37638
243;0,36236
244;0,34845
245;0,33525
246;0,32348
247;0,31262
248;0,30295
249;0,29433
250;0,28678
251;0,28064
252;0,27523
253;0,27072
254;0,26773
255;0,26457
256;0,26347
257;0,26301
258;0,26324
259;0,2643
260;0,26506
261;0,26695
262;0,26817
263;0,26945
264;0,27137
265;0,27378
266;0,27579
267;0,27889
268;0,28245
269;0,28553
270;0,28853
271;0,29186
272;0,29563
273;0,29983
274;0,30449
275;0,30919
276;0,31342
277;0,31731
278;0,32107
279;0,32534
280;0,32906
281;0,33291
282;0,33695
283;0,341
284;0,34497
285;0,34849
286;0,35151
287;0,35396
288;0,35454
289;0,35423
290;0,35364
291;0,35284
292;0,35245
293;0,35331
294;0,35565
295;0,35808
296;0,36056
297;0,36093
298;0,35826
299;0,35096
300;0,34067
301;0,32627
302;0,31134
303;0,29529
304;0,28066
305;0,26785
306;0,25688
307;0,24862
308;0,24161
309;0,23577
310;0,23175
311;0,22777
312;0,22373
313;0,22075
314;0,21684
315;0,21355
316;0,21127
317;0,20849
318;0,20579
319;0,20316
320;0,20063
321;0,19768
322;0,19568
323;0,19277
324;0,19043
325;0,18844
326;0,1859
327;0,18356
328;0,18151
329;0,17956
330;0,17738
331;0,17601
332;0,17345
333;0,17106
334;0,16871
335;0,16579
336;0,1633
337;0,16047
338;0,15709
339;0,15416
340;0,15047
341;0,14738
342;0,14455
343;0,14105
344;0,13845
345;0,13629
346;0,13234
347;0,12939
348;0,1266
349;0,12297
350;0,11935
351;0,11627
352;0,11281
353;0,10915
354;0,10512
355;0,10187
356;0,098524
357;0,095294
358;0,091797
359;0,088525
360;0,085846
361;0,082118
362;0,079004
363;0,076147
364;0,073192
365;0,07079
366;0,068377
367;0,065964
368;0,063393
369;0,061397
370;0,058947
371;0,057318
372;0,055629
373;0,053661
374;0,051775
375;0,050355
376;0,04857
377;0,046881
378;0,045567
379;0,043898
380;0,042703
381;0,041436
382;0,039755
383;0,038548
384;0,037115
385;0,035825
386;0,034678
387;0,033501
388;0,033091
389;0,032105
390;0,03127
391;0,031014
392;0,030442
393;0,029729
394;0,02996
395;0,029914
396;0,028806
397;0,029463
398;0,029372
399;0,029308
400;0,029919
401;0,030049
402;0,030256
403;0,031128
404;0,031868
405;0,032507
406;0,034171
407;0,035192
408;0,03635
409;0,037983
410;0,039391
411;0,04084
412;0,042635
413;0,044344
414;0,04656
415;0,048277
416;0,050492
417;0,052645
418;0,055303
419;0,057946
420;0,060585
421;0,063578
422;0,066992
423;0,070268
424;0,073436
425;0,07732
426;0,081382
427;0,085246
428;0,089399
429;0,094028
430;0,098776
431;0,1042
432;0,10944
433;0,11504
434;0,12079
435;0,12676
436;0,1329
437;0,13957
438;0,14671
439;0,15334
440;0,16086
441;0,16839
442;0,1761
443;0,1843
444;0,19319
445;0,20197
446;0,21164
447;0,22131
448;0,23089
449;0,24128
450;0,25192
451;0,26256
452;0,27411
453;0,28584
454;0,29759
455;0,30978
456;0,32233
457;0,33494
458;0,34833
459;0,36209
460;0,37615
461;0,39051
462;0,40549
463;0,42049
464;0,436
465;0,45185
466;0,46779
467;0,48459
468;0,50144
469;0,51864
470;0,53608
471;0,55347
472;0,57097
473;0,58892
474;0,60715
475;0,62529
476;0,64388
477;0,66265
478;0,68105
479;0,70015
480;0,71884
481;0,73729
482;0,75582
483;0,77511
484;0,79367
485;0,81292
486;0,83174
487;0,85041
488;0,86939
489;0,88856
490;0,90702
491;0,92576
492;0,94491
493;0,96356
494;0,98295
495;1,0014
496;1,0206
497;1,0396
498;1,0582
499;1,0767
500;1,0952
501;1,1129
502;1,1309
503;1,1489
504;1,1659
505;1,182
506;1,1975
507;1,2125
508;1,2273
509;1,2398
510;1,2527
511;1,2638
512;1,2743
513;1,283
514;1,291
515;1,2983
516;1,3043
517;1,3088
518;1,3127
519;1,315
520;1,3166
521;1,3171
522;1,3169
523;1,3152
524;1,3135
525;1,3111
526;1,3084
527;1,304
528;1,3
529;1,2955
530;1,2908
531;1,2858
532;1,2806
533;1,2753
534;1,2699
535;1,264
536;1,258
537;1,251
538;1,2445
539;1,2371
540;1,23
541;1,2218
542;1,2128
543;1,2036
544;1,1932
545;1,1819
546;1,1688
547;1,1551
548;1,1401
549;1,1235
550;1,1056
551;1,0859
552;1,0646
553;1,0422
554;1,0177
555;0,99139
556;0,96392
557;0,93515
558;0,9045
559;0,87289
560;0,84007
561;0,80595
562;0,77111
563;0,73548
564;0,69931
565;0,66361
566;0,62766
567;0,59232
568;0,55723
569;0,52282
570;0,48879
571;0,4557
572;0,42336
573;0,392
574;0,36182
575;0,33307
576;0,30606
577;0,28066
578;0,25649
579;0,23418
580;0,21307
581;0,19337
582;0,17538
583;0,15868
584;0,14307
585;0,12903
586;0,11614
587;0,10442
588;0,093525
589;0,083983
590;0,075304
591;0,067216
592;0,06029
593;0,053795
594;0,048134
595;0,042946
596;0,038154
597;0,034119
598;0,030487
599;0,027393
600;0,024394
601;0,022124
602;0,019819
603;0,017714
604;0,015923
605;0,014043
606;0,012299
607;0,010903
608;0,009807
609;0,008576
610;0,007684
611;0,006915
612;0,005854
613;0,005226
614;0,004502
615;0,003855
616;0,003564
617;0,003061
618;0,002474
619;0,002323
620;0,002109
621;0,001467
622;0,001476
623;0,001294
624;0,001086
625;0,001524
626;0,001714
627;0,001609
628;0,001158
629;0,000524
630;-3,46E-05
631;-0,0003
632;-0,00072
633;-0,00101
634;-0,00088
635;-0,00103
636;-0,00129
637;-0,0013
638;-0,00144
639;-0,00174
640;-0,00152
641;-0,00171
642;-0,00206
643;-0,00212
644;-0,00217
645;-0,00229
646;-0,00227
647;-0,00224
648;-0,00231
649;-0,00211
650;-0,00214
651;-0,00212
652;-0,0018
653;-0,0021
654;-0,00222
655;-0,00224
656;-0,00224
657;-0,00235
658;-0,00211
659;-0,00224
660;-0,00238
661;-0,00232
662;-0,00248
663;-0,00253
664;-0,00245
665;-0,00252
666;-0,0026
667;-0,00257
668;-0,00247
669;-0,00274
670;-0,00254
671;-0,0025
672;-0,0024
673;-0,00243
674;-0,00253
675;-0,00273
676;-0,00276
677;-0,00289
678;-0,00292
679;-0,00281
680;-0,00272
681;-0,00282
682;-0,00267
683;-0,00263
684;-0,00295
685;-0,00277
686;-0,00287
687;-0,00286
688;-0,00281
689;-0,00261
690;-0,00259
691;-0,00239
692;-0,00231
693;-0,0026
694;-0,00224
695;-0,00214
696;-0,00234
697;-0,00216
698;-0,00227
699;-0,00258
700;-0,00213
