wavelength;absorbance
190;0,544
191;0,507
192;0,479
193;0,455
194;0,443
195;0,434
196;0,431
197;0,43
198;0,431
199;0,433
200;0,435
201;0,438
202;0,439
203;0,44
204;0,44
205;0,438
206;0,435
207;0,431
208;0,425
209;0,418
210;0,408
211;0,395
212;0,381
213;0,363
214;0,343
215;0,323
216;0,302
217;0,279
218;0,256
219;0,234
220;0,214
221;0,196
222;0,18
223;0,165
224;0,151
225;0,138
226;0,125
227;0,115
228;0,105
229;0,096
230;0,089
231;0,084
232;0,079
233;0,075
234;0,071
235;0,067
236;0,063
237;0,06
238;0,055
239;0,051
240;0,047
241;0,043
242;0,039
243;0,036
244;0,033
245;0,03
246;0,028
247;0,026
248;0,025
249;0,024
250;0,023
251;0,022
252;0,021
253;0,021
254;0,021
255;0,021
256;0,02
257;0,021
258;0,021
259;0,021
260;0,022
261;0,022
262;0,023
263;0,025
264;0,026
265;0,027
266;0,029
267;0,03
268;0,032
269;0,034
270;0,036
271;0,038
272;0,041
273;0,043
274;0,046
275;0,048
276;0,051
277;0,054
278;0,057
279;0,061
280;0,064
281;0,066
282;0,069
283;0,071
284;0,074
285;0,075
286;0,077
287;0,078
288;0,078
289;0,078
290;0,077
291;0,075
292;0,073
293;0,071
294;0,067
295;0,064
296;0,059
297;0,055
298;0,05
299;0,045
300;0,04
301;0,035
302;0,031
303;0,027
304;0,023
305;0,021
306;0,019
307;0,016
308;0,015
309;0,013
310;0,012
311;0,011
312;0,01
313;0,01
314;0,009
315;0,009
316;0,009
317;0,009
318;0,008
319;0,008
320;0,008
321;0,008
322;0,008
323;0,008
324;0,007
325;0,008
326;0,007
327;0,007
328;0,007
329;0,007
330;0,007
331;0,007
332;0,007
333;0,007
334;0,006
335;0,006
336;0,006
337;0,006
338;0,006
339;0,006
340;0,006
341;0,006
342;0,006
343;0,005
344;0,005
345;0,005
346;0,005
347;0,005
348;0,004
349;0,004
350;0,004
351;0,004
352;0,004
353;0,004
354;0,003
355;0,003
356;0,003
357;0,003
358;0,003
359;0,003
360;0,003
361;0,003
362;0,003
363;0,003
364;0,003
365;0,002
366;0,002
367;0,002
368;0,002
369;0,002
370;0,002
371;0,002
372;0,002
373;0,002
374;0,002
375;0,002
376;0,002
377;0,002
378;0,002
379;0,002
380;0,002
381;0,002
382;0,002
383;0,002
384;0,003
385;0,003
386;0,003
387;0,003
388;0,003
389;0,003
390;0,003
391;0,004
392;0,004
393;0,004
394;0,004
395;0,005
396;0,005
397;0,005
398;0,006
399;0,006
400;0,006
401;0,007
402;0,007
403;0,008
404;0,008
405;0,008
406;0,009
407;0,01
408;0,01
409;0,011
410;0,011
411;0,012
412;0,013
413;0,013
414;0,014
415;0,015
416;0,015
417;0,016
418;0,017
419;0,018
420;0,019
421;0,02
422;0,021
423;0,022
424;0,023
425;0,024
426;0,025
427;0,026
428;0,028
429;0,029
430;0,03
431;0,032
432;0,033
433;0,035
434;0,036
435;0,038
436;0,04
437;0,041
438;0,043
439;0,045
440;0,047
441;0,049
442;0,051
443;0,053
444;0,055
445;0,057
446;0,059
447;0,061
448;0,063
449;0,065
450;0,068
451;0,07
452;0,072
453;0,075
454;0,077
455;0,079
456;0,081
457;0,084
458;0,086
459;0,088
460;0,091
461;0,093
462;0,095
463;0,097
464;0,1
465;0,102
466;0,104
467;0,107
468;0,109
469;0,112
470;0,114
471;0,116
472;0,119
473;0,121
474;0,124
475;0,126
476;0,129
477;0,131
478;0,133
479;0,136
480;0,138
481;0,14
482;0,142
483;0,144
484;0,146
485;0,148
486;0,149
487;0,151
488;0,152
489;0,153
490;0,155
491;0,156
492;0,157
493;0,158
494;0,159
495;0,16
496;0,161
497;0,162
498;0,163
499;0,164
500;0,165
501;0,166
502;0,167
503;0,168
504;0,17
505;0,171
506;0,173
507;0,174
508;0,176
509;0,178
510;0,18
511;0,182
512;0,184
513;0,187
514;0,189
515;0,192
516;0,194
517;0,197
518;0,2
519;0,204
520;0,207
521;0,211
522;0,215
523;0,219
524;0,223
525;0,228
526;0,232
527;0,237
528;0,243
529;0,248
530;0,254
531;0,26
532;0,265
533;0,271
534;0,277
535;0,283
536;0,289
537;0,295
538;0,3
539;0,305
540;0,31
541;0,315
542;0,318
543;0,322
544;0,324
545;0,326
546;0,327
547;0,327
548;0,327
549;0,325
550;0,323
551;0,319
552;0,315
553;0,309
554;0,303
555;0,297
556;0,289
557;0,28
558;0,271
559;0,262
560;0,251
561;0,241
562;0,23
563;0,22
564;0,209
565;0,198
566;0,188
567;0,177
568;0,166
569;0,156
570;0,147
571;0,138
572;0,129
573;0,12
574;0,112
575;0,104
576;0,097
577;0,09
578;0,083
579;0,077
580;0,071
581;0,066
582;0,061
583;0,056
584;0,051
585;0,047
586;0,043
587;0,039
588;0,036
589;0,033
590;0,03
591;0,028
592;0,025
593;0,023
594;0,021
595;0,019
596;0,017
597;0,016
598;0,014
599;0,013
600;0,012
601;0,011
602;0,01
603;0,009
604;0,008
605;0,007
606;0,006
607;0,006
608;0,005
609;0,005
610;0,004
611;0,004
612;0,003
613;0,003
614;0,002
615;0,002
616;0,002
617;0,001
618;0,001
619;0,001
620;0,001
621;0,001
622;0
623;0
624;0
625;0
626;0
627;0
628;0
629;0
630;0
631;0
632;-0,001
633;-0,001
634;-0,001
635;-0,001
636;-0,001
637;-0,001
638;-0,001
639;-0,001
640;-0,001
641;-0,001
642;-0,001
643;-0,001
644;-0,001
645;-0,001
646;-0,001
647;-0,001
648;-0,001
649;-0,001
650;-0,001
651;-0,001
652;-0,001
653;-0,001
654;-0,001
655;-0,001
656;-0,001
657;-0,001
658;-0,001
659;-0,001
660;-0,001
661;-0,001
662;-0,001
663;-0,001
664;-0,001
665;-0,001
666;-0,001
667;-0,001
668;-0,001
669;-0,001
670;-0,001
671;-0,001
672;-0,001
673;-0,001
674;-0,001
675;-0,001
676;-0,001
677;-0,001
678;-0,001
679;-0,001
680;-0,001
681;-0,001
682;-0,001
683;-0,001
684;-0,001
685;-0,001
686;-0,001
687;-0,001
688;-0,001
689;-0,001
690;-0,001
691;-0,001
692;-0,001
693;-0,001
694;-0,001
695;-0,001
696;-0,001
697;-0,001
698;-0,001
699;-0,001
700;-0,001
