wavelength;absorbance
190;0,493
191;0,456
192;0,425
193;0,398
194;0,383
195;0,37
196;0,363
197;0,359
198;0,356
199;0,355
200;0,355
201;0,356
202;0,356
203;0,356
204;0,356
205;0,354
206;0,352
207;0,348
208;0,342
209;0,334
210;0,324
211;0,312
212;0,299
213;0,283
214;0,267
215;0,249
216;0,23
217;0,211
218;0,191
219;0,174
220;0,157
221;0,142
222;0,129
223;0,116
224;0,105
225;0,095
226;0,086
227;0,079
228;0,073
229;0,067
230;0,062
231;0,058
232;0,055
233;0,052
234;0,051
235;0,05
236;0,049
237;0,049
238;0,05
239;0,05
240;0,051
241;0,053
242;0,054
243;0,055
244;0,056
245;0,057
246;0,057
247;0,057
248;0,057
249;0,055
250;0,054
251;0,052
252;0,049
253;0,047
254;0,044
255;0,042
256;0,04
257;0,038
258;0,036
259;0,034
260;0,033
261;0,031
262;0,03
263;0,029
264;0,029
265;0,028
266;0,028
267;0,028
268;0,027
269;0,027
270;0,027
271;0,027
272;0,028
273;0,028
274;0,028
275;0,029
276;0,03
277;0,031
278;0,032
279;0,033
280;0,034
281;0,036
282;0,037
283;0,039
284;0,041
285;0,042
286;0,044
287;0,047
288;0,049
289;0,051
290;0,053
291;0,055
292;0,058
293;0,06
294;0,062
295;0,064
296;0,066
297;0,067
298;0,068
299;0,069
300;0,069
301;0,069
302;0,068
303;0,067
304;0,066
305;0,064
306;0,062
307;0,059
308;0,056
309;0,053
310;0,049
311;0,046
312;0,042
313;0,039
314;0,036
315;0,033
316;0,031
317;0,029
318;0,026
319;0,024
320;0,022
321;0,021
322;0,02
323;0,019
324;0,018
325;0,017
326;0,016
327;0,015
328;0,015
329;0,015
330;0,014
331;0,013
332;0,013
333;0,013
334;0,012
335;0,012
336;0,012
337;0,011
338;0,011
339;0,011
340;0,011
341;0,011
342;0,011
343;0,011
344;0,01
345;0,011
346;0,011
347;0,011
348;0,011
349;0,011
350;0,011
351;0,011
352;0,011
353;0,011
354;0,01
355;0,011
356;0,01
357;0,01
358;0,01
359;0,01
360;0,01
361;0,009
362;0,009
363;0,009
364;0,009
365;0,009
366;0,009
367;0,009
368;0,008
369;0,008
370;0,008
371;0,007
372;0,007
373;0,007
374;0,007
375;0,006
376;0,006
377;0,006
378;0,005
379;0,005
380;0,005
381;0,005
382;0,005
383;0,004
384;0,004
385;0,004
386;0,004
387;0,004
388;0,004
389;0,004
390;0,004
391;0,004
392;0,004
393;0,004
394;0,004
395;0,004
396;0,004
397;0,004
398;0,004
399;0,004
400;0,004
401;0,004
402;0,004
403;0,004
404;0,004
405;0,004
406;0,004
407;0,005
408;0,005
409;0,005
410;0,005
411;0,005
412;0,005
413;0,005
414;0,005
415;0,005
416;0,005
417;0,005
418;0,006
419;0,006
420;0,006
421;0,006
422;0,006
423;0,006
424;0,007
425;0,007
426;0,007
427;0,007
428;0,008
429;0,008
430;0,008
431;0,008
432;0,008
433;0,009
434;0,009
435;0,009
436;0,01
437;0,01
438;0,01
439;0,011
440;0,011
441;0,012
442;0,012
443;0,012
444;0,013
445;0,013
446;0,014
447;0,014
448;0,015
449;0,015
450;0,016
451;0,017
452;0,017
453;0,018
454;0,019
455;0,019
456;0,02
457;0,021
458;0,022
459;0,022
460;0,023
461;0,024
462;0,025
463;0,026
464;0,027
465;0,028
466;0,029
467;0,03
468;0,031
469;0,033
470;0,034
471;0,035
472;0,036
473;0,038
474;0,039
475;0,04
476;0,042
477;0,043
478;0,045
479;0,047
480;0,048
481;0,05
482;0,051
483;0,053
484;0,055
485;0,057
486;0,058
487;0,06
488;0,062
489;0,064
490;0,066
491;0,068
492;0,071
493;0,073
494;0,075
495;0,077
496;0,079
497;0,082
498;0,084
499;0,087
500;0,089
501;0,092
502;0,094
503;0,097
504;0,1
505;0,103
506;0,105
507;0,108
508;0,111
509;0,114
510;0,117
511;0,12
512;0,123
513;0,127
514;0,129
515;0,133
516;0,136
517;0,139
518;0,142
519;0,145
520;0,147
521;0,15
522;0,153
523;0,156
524;0,158
525;0,161
526;0,163
527;0,166
528;0,168
529;0,17
530;0,172
531;0,174
532;0,177
533;0,178
534;0,18
535;0,182
536;0,184
537;0,186
538;0,187
539;0,189
540;0,19
